Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
96	56	0	1.04878477	-0.019727841	-0.0198983174	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
97	56	0	1.05970961	-0.0193115177	-0.0198954628	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
98	57	0	1.07063445	-0.0193616327	-0.0198913632	-0.0207884606	-0.0191671329	0.00149347076	0.0022868919	0	100	0	0	3
99	57	0	1.08155929	-0.0198050905	-0.01989379	-0.0207884606	-0.0191671329	0.00149347076	0.0022868919	0	100	0	0	3
100	58	0	1.09248413	-0.0203505635	-0.0199044363	-0.0207884606	-0.0191671329	0.00133633109	0.0022868919	0	100	0	0	3
101	59	0	1.10340897	-0.0206961782	-0.0199209745	-0.0207884606	-0.0191671329	0.00133633109	0.0022868919	0	100	0	0	3
102	60	0	1.11433381	-0.0205271003	-0.0199337463	-0.0207884606	-0.0191671329	0.00119968871	0.0022868919	0	100	0	0	3
103	61	0	1.12525865	-0.020086344	-0.0199405748	-0.0207884606	-0.0191671329	0.00119968871	0.0022868919	0	100	0	0	3
104	61	0	1.1361835	-0.019560007	-0.0199407308	-0.0207884606	-0.0191671329	0.00104761642	0.0022868919	0	100	0	0	3
105	62	0	1.14710834	-0.0192605908	-0.0199391321	-0.0207884606	-0.0191671329	0.00104761642	0.0022868919	0	100	0	0	3
106	62	0	1.15803318	-0.0194054997	-0.0199392457	-0.0207884606	-0.0191671329	0.000899196363	0.0022868919	0	100	0	0	3
107	63	0	1.16895802	-0.0199173774	-0.0199456857	-0.0207884606	-0.0191671329	0.000899196363	0.0022868919	0	100	0	0	3
108	63	0	1.17988286	-0.020417249	-0.0199525746	-0.0207884606	-0.0191671329	0.000823956916	0.0022868919	0	100	0	0	3
